Activity ID,Activity Name,Actual This Period Cost,Actual Total Cost
2,Verbale di consegna,0.0,0.0
3,Chiusura carreggiata DIR. PA-CT -Apertura al traffico carreggiata DIR. CT-PA con una corsia per senso di marcia,0.0,0.0
4,Inzio attività,0.0,0.0
5,Autorizzazione al Subappalto per Scarificatura,0.0,0.0
6,Montaggio Ferri Pulvino e Baggiolo Pila 56,0.0,0.0
7,Allestimento Campo base e aree tecniche,0.0,0.0
8,Segnaletica e delimitazioni di sicurezza,0.0,0.0
9,"Realizzazione piste di cantiere, viabilità e risoluzioni interferenze",0.0,0.0
10,Guadi A - a servizio pista pile 5 e 6,0.0,0.0
11,Bocciardatura Pulvino 57,0.0,0.0
12,Passivazione Ferri Pila 57,0.0,0.0
13,Inghisaggi Feri Baggioli Pila 57,0.0,0.0
14,"Realizzazione di n.9 pali  fondazione Pila 58 bis (perforazione,posa armatura e getto)",0.0,0.0
15,Scapitozzatura n.9 pali,0.0,0.0
16,Smontaggio Ponteggi Pila 57,0.0,0.0
17,Realizzazione della fondazione Pila 58 bis,0.0,0.0
18,Realizzazione elevazione Pila 58 bis,0.0,0.0
19,Realizzazione pulvino e baggioli 58 bis,0.0,0.0
20,Passivazione Ferri Pila 58,0.0,0.0
21,Posa travi impalcato e appoggi  58 bis - 59 bis,0.0,0.0
22,Realizzazione della soletta impalcato 58 bis - 59bis,0.0,0.0
23,Strati di Malta Pulvini e Baggioli Pila 58,0.0,0.0
24,Realizzazione della piattaforma stradale 58-59,0.0,0.0
26,Demolizione travi-soletta- cordolo 59-60,0.0,0.0
27,Bocciardatura Pulvino 59,0.0,0.0
28,Ricostruzione baggioli 59-60,0.0,0.0
29,Posa n.3  travi  in acciaio e appoggi 59-60,0.0,0.0
30,Realizzazione soletta impalcato 59-60,0.0,0.0
31,Posa della pavimentazione 59-60,0.0,0.0
32,Posa giunto su impalcato DIR CT 59-60,0.0,0.0
34,Fine progetto da Contratto,0.0,0.0
35,Bocciardatura Pulvino 60,0.0,0.0
36,Rimozione della barriere stradali 76 - 56,0.0,0.0
37,Scarificazione della pavimentazione stradale esistente da Campata 76 a 56,0.0,0.0
38,Rimozione giunti da Campata 76 a 56,0.0,0.0
39,Strati di Malta Pulvini e Baggioli Pila 60,0.0,0.0
40,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 76,0.0,0.0
41,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 75,0.0,0.0
42,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 74,0.0,0.0
